,Job Title,Company,Location,Salary($),Job-Type,Job-Description,Link
0,MRI Technologist,Insight Global,"Cincinnati, OH 45220 (CUF area)",$45 - $55 an hour,Full-time,"This group receives on average 30 patients per day and sees a lot of brain and spine cases (mainly outpatient).
ARRT or NMTCB, BLS/CPR.",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
1,Experienced Scientist - Large Language Modeling,"Medpace, Inc.","Hybrid work in Cincinnati, OH 45227",Not Provided,Full-time,"Integrate artificial intelligence to support a chatbot feature to interact with the LLM.
You will collaborate closely with cross-functional teams, includingâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
2,Technology Strategy & Advisory Consultant or Manager - Infrastructure Optimization and Modernization,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,We are Technology Strategy and Advisory and we design and execute industry-relevant reinventions that allow organizations to realize exceptional business valueâ€¦,https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
3,Google Integrated Practice Leads,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"You will leverage your expertise in data, AI, and reinventing customer experiences to shape end-to-end digital transformations, unlocking the potential ofâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
4,"Natural Resources Industry, Consulting Associate Director",Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Lead client engagements focused on digital transformation, operational excellence, and sustainability initiatives.",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
5,Life Sciences R&D Consulting Drug Safety Senior Manager,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Define use cases and business cases for applying modern technology in the PV space, including digital and applied intelligence.",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
6,Emerging Technology Product Manager,Great American Insurance Company,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"The ideal candidate for this position will have the skills and experience necessary to:
Define and drive business priorities and project deliverables inâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
7,"Chief of Staff - Director, Strategy & Data Advanced Analytics (P2494)",84.51Â°,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Not Provided,"Champion AI Integration: Spearhead the development and implementation of the enterprise-wide artificial intelligence (AI) strategy, maximizing the value ofâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
8,Executive Office Administrator,NaviStone,"Hybrid work in Cincinnati, OH",Not Provided,Not Provided,"You will be responsible for providing high-level administrative support to the executive team, including scheduling and managing meetings and travelâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
9,"Manager, Category Leadership, M&B",Campbell Soup Company,"Hybrid work in Cincinnati, OH",Not Provided,Full-time,"As a member of the Meals and Beverage team, the Category Leadership Manager will support Kroger and/or Albertsons using point-of-sale, loyalty and shopper dataâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
10,EPA Postdoctoral Fellowship on Machine Learning Applications for Lead Service Line Identification,U.S. Environmental Protection Agency (EPA),"Cincinnati, OH","$71,984 - $86,279 a year",Not Provided,"Desired background and/or expertise includes data mining, statistics, machine learning, computer programming, artificial intelligence, and mathematics.",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
11,Consulting Account Partner (Aerospace),NLB Technology Services,"Cincinnati, OH 45203 (Central Business District area)","$250,000 - $260,000 a year",Full-time,"MBA from USA Tier 2 or Tier 3 colleges.
Engagement Manager/Senior Manager levels - need a hands-on candidate.
Order Book (TCV / ACV) â€“ Direct / Influenced.",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
12,Fair and Responsible Banking Analytics Director,U.S. Bank National Association,"Cincinnati, OH 45202 (Mount Adams area)","$165,325 - $213,950 a year",Full-time,"Statistical modeling and fair lending model development expertise (including logistic regression, non-regression, and artificial intelligence / machine learningâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
13,Privacy Director,Bon Secours Mercy Health,"Cincinnati, OH 45237 (Roselawn area)",Not Provided,Not Provided,"We are looking for a candidate who has researched regulatory law, has expert knowledge in HIPAA, has at least 5-7 years of experience in healthcare law â€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
14,SAP BTP Consultant,Accenture,"Cincinnati, OH 45202 (Central Business District area)",Not Provided,Full-time,"Accentureâ€™s SAP practice, and we bring the New to life using design thinking, agile development methodologies, and the latest smart tech for SAP when it comesâ€¦",https://www.indeed.com/rc/clk?jk=c1f7583df0a1a9df&bb=8Epcjg8V20naPD8ZWc-NPgEG2V0qWFAm4XKJmMLnjwNwMD7qJJJXPq4vo7J6lPvSV3NmBqR_Z07vfTFbGSwe3AzHMz5-QyIdgsnGRYjNnZINaUkLZWo00Q%3D%3D&xkcb=SoDS67M3-F5BP3wY6Z0YbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
